percentile,value,onefraconeminuspercentile
0.0,4280,1.00000000000000000000
0.05,6846,1.0526315789473684
0.23076923076923078,16352,1.30000000000000002
0.25,16872,1.3333333333333333
0.37500000000000006,23903,1.60000000000000015
0.4736842105263158,29517,1.9000000000000000
0.5,30323,2.0000000000000000
0.5454545454545455,33760,2.2000000000000002
0.6,35999,2.5000000000000000
0.6428571428571428,39314,2.7999999999999996
0.6774193548387096,40421,3.0999999999999993
0.7058823529411764,43160,3.3999999999999992
0.7297297297297297,44290,3.6999999999999996
0.7499999999999999,44896,3.9999999999999984
0.75,44896,4.0000000000000000
0.7674418604651162,45705,4.2999999999999985
0.7826086956521738,47480,4.5999999999999976
0.7959183673469388,48304,4.9000000000000006
0.8076923076923076,48918,5.1999999999999975
0.8181818181818181,49329,5.4999999999999975
0.8275862068965517,49613,5.7999999999999992
0.8360655737704917,49817,6.0999999999999962
0.8437499999999999,50032,6.3999999999999959
0.8507462686567163,50504,6.6999999999999947
0.8571428571428571,51215,6.9999999999999979
0.8630136986301369,51920,7.2999999999999954
0.8684210526315789,52509,7.5999999999999973
0.8734177215189873,52841,7.8999999999999974
0.8780487804878049,53100,8.2000000000000015
0.8823529411764706,53269,8.5000000000000009
0.8863636363636364,53448,8.8000000000000028
0.8901098901098901,53695,9.0999999999999992
0.8936170212765957,53863,9.3999999999999961
0.8969072164948454,53979,9.7000000000000037
0.9,54095,10.0000000000000000
0.9230769230769231,54757,13.0000000000000039
0.9375,55686,16.0000000000000000
0.9473684210526315,57399,18.9999999999999715
0.95,57634,20.0000000000000000
0.9545454545454546,57973,22.0000000000000264
0.96,58285,25.0000000000000000
0.9642857142857143,58659,28.0000000000000112
0.967741935483871,58848,31.0000000000000310
0.9705882352941176,59010,33.9999999999999456
0.972972972972973,59145,37.0000000000000370
0.975,59238,40.0000000000000000
0.9767441860465116,59308,42.9999999999999484
0.9782608695652174,59352,46.0000000000000184
0.9795918367346939,59386,49.0000000000000539
0.9807692307692307,59415,51.9999999999998128
0.9818181818181818,59445,54.9999999999999450
0.9827586206896551,59477,57.9999999999997564
0.9836065573770492,59509,61.0000000000000732
0.984375,59540,64.0000000000000000
0.9850746268656716,59566,66.9999999999998124
0.9857142857142858,59590,70.0000000000004200
0.9863013698630136,59609,72.9999999999994744
0.9868421052631579,59625,76.0000000000000304
0.9873417721518988,59638,79.0000000000004108
0.9878048780487805,59651,82.0000000000000820
0.9882352941176471,59664,85.0000000000002975
0.9886363636363636,59676,87.9999999999997184
0.989010989010989,59689,90.9999999999999090
0.9893617021276596,59701,94.0000000000002256
0.9896907216494846,59714,97.0000000000006014
0.99,59727,100.0000000000000000
0.9923076923076923,59935,129.9999999999998700
0.99375,60116,160.0000000000000000
0.9947368421052631,60251,189.9999999999979100
0.9954545454545455,60371,220.0000000000022000
0.996,60934,250.0000000000000000
0.9964285714285714,62464,279.9999999999977600
0.9967741935483871,62770,310.0000000000003100
0.9970588235294118,62962,340.0000000000040800
0.9972972972972973,63156,370.0000000000003700
0.9975,63340,400.0000000000000000
0.9976744186046511,63543,429.9999999999883900
0.9978260869565218,63905,460.0000000000128800
0.9979591836734694,64440,490.0000000000029400
0.9980769230769231,66816,520.0000000000062400
0.9981818181818182,68564,550.0000000000055000
0.9982758620689656,69398,580.0000000000278400
0.9983606557377049,71600,609.9999999999932900
0.9984375,73089,640.0000000000000000
0.9985074626865672,73768,670.0000000000160800
0.9985714285714286,74354,700.0000000000140000
0.9986301369863013,75380,729.9999999999627700
0.9986842105263158,77333,760.0000000000060800
0.9987341772151899,78017,790.0000000000165900
0.998780487804878,78506,819.9999999999672000
0.9988235294117647,78847,849.9999999999957500
0.9988636363636364,79242,880.0000000000281600
0.9989010989010989,79735,909.9999999999990900
0.9989361702127659,80802,939.9999999999492400
0.9989690721649485,81708,970.0000000000436500
0.999,82206,1000.0000000000000000
0.9992307692307693,84558,1300.0000000001170000
0.999375,86911,1600.0000000000000000
0.9994736842105263,88008,1899.9999999999430000
0.9995454545454545,91828,2199.9999999997800000
0.9996,92696,2500.0000000000000000
0.9996428571428572,93175,2800.0000000004480000
0.9996774193548387,93483,3099.9999999999070000
0.9997058823529412,93793,3400.0000000002720000
0.9997297297297297,94105,3699.9999999995930000
0.99975,94595,4000.0000000000000000
0.9997674418604651,96077,4299.9999999996990000
0.9997826086956522,96943,4600.0000000005520000
0.9997959183673469,97374,4899.9999999990690000
0.9998076923076923,97685,5199.9999999997920000
0.9998181818181818,97892,5499.9999999994500000
0.9998275862068966,98096,5800.0000000016240000
0.9998360655737705,98246,6100.0000000003050000
0.99984375,98356,6400.0000000000000000
0.9998507462686567,98469,6699.9999999992630000
0.9998571428571429,98589,7000.0000000021000000
0.9998630136986302,98727,7300.0000000033580000
0.9998684210526316,98842,7600.0000000012160000
0.9998734177215189,98952,7899.9999999945490000
0.9998780487804878,99072,8199.9999999996720000
0.9998823529411764,99210,8499.9999999949000000
0.9998863636363636,99405,8799.9999999971840000
0.9998901098901098,99583,9099.9999999925380000
0.9998936170212765,99862,9399.9999999915400000
0.9998969072164948,100420,9699.9999999957320000
0.9999,101147,10000.0000000000000000
0.9999230769230769,103101,12999.9999999961000000
0.9999375,103882,16000.000000000000
0.9999473684210526,106059,18999.9999999886000000
0.9999545454545454,115963,21999.9999999736000000
0.99996,172582,25000.000000000000
0.9999642857142857,258533,27999.9999999888000000
0.9999677419354839,333451,31000.0000000279000000
0.9999705882352942,398389,34000.0000000952000000
0.9999729729729729,453506,36999.9999999001000000
0.999975,500752,40000.000000000000
