percentile,value,onefraconeminuspercentile
0.0,4170,1.00000000000000000000
0.05,5011,1.0526315789473684
0.23076923076923078,5247,1.30000000000000002
0.25,5262,1.3333333333333333
0.37500000000000006,6401,1.60000000000000015
0.4736842105263158,6469,1.9000000000000000
0.5,6591,2.0000000000000000
0.5454545454545455,7602,2.2000000000000002
0.6,7692,2.5000000000000000
0.6428571428571428,7716,2.7999999999999996
0.6774193548387096,7733,3.0999999999999993
0.7058823529411764,7755,3.3999999999999992
0.7297297297297297,7880,3.6999999999999996
0.7499999999999999,7905,3.9999999999999984
0.75,7905,4.0000000000000000
0.7674418604651162,7934,4.2999999999999985
0.7826086956521738,8861,4.5999999999999976
0.7959183673469388,8952,4.9000000000000006
0.8076923076923076,8970,5.1999999999999975
0.8181818181818181,8985,5.4999999999999975
0.8275862068965517,8994,5.7999999999999992
0.8360655737704917,9001,6.0999999999999962
0.8437499999999999,9006,6.3999999999999959
0.8507462686567163,9010,6.6999999999999947
0.8571428571428571,9013,6.9999999999999979
0.8630136986301369,9016,7.2999999999999954
0.8684210526315789,9018,7.5999999999999973
0.8734177215189873,9021,7.8999999999999974
0.8780487804878049,9023,8.2000000000000015
0.8823529411764706,9025,8.5000000000000009
0.8863636363636364,9027,8.8000000000000028
0.8901098901098901,9028,9.0999999999999992
0.8936170212765957,9030,9.3999999999999961
0.8969072164948454,9031,9.7000000000000037
0.9,9033,10.0000000000000000
0.9230769230769231,9047,13.0000000000000039
0.9375,9067,16.0000000000000000
0.9473684210526315,9173,18.9999999999999715
0.95,9179,20.0000000000000000
0.9545454545454546,9186,22.0000000000000264
0.96,9193,25.0000000000000000
0.9642857142857143,9198,28.0000000000000112
0.967741935483871,9202,31.0000000000000310
0.9705882352941176,9206,33.9999999999999456
0.972972972972973,9209,37.0000000000000370
0.975,9212,40.0000000000000000
0.9767441860465116,9214,42.9999999999999484
0.9782608695652174,9216,46.0000000000000184
0.9795918367346939,9219,49.0000000000000539
0.9807692307692307,9221,51.9999999999998128
0.9818181818181818,9223,54.9999999999999450
0.9827586206896551,9225,57.9999999999997564
0.9836065573770492,9226,61.0000000000000732
0.984375,9228,64.0000000000000000
0.9850746268656716,9230,66.9999999999998124
0.9857142857142858,9232,70.0000000000004200
0.9863013698630136,9233,72.9999999999994744
0.9868421052631579,9235,76.0000000000000304
0.9873417721518988,9237,79.0000000000004108
0.9878048780487805,9238,82.0000000000000820
0.9882352941176471,9240,85.0000000000002975
0.9886363636363636,9242,87.9999999999997184
0.989010989010989,9243,90.9999999999999090
0.9893617021276596,9245,94.0000000000002256
0.9896907216494846,9247,97.0000000000006014
0.99,9249,100.0000000000000000
0.9923076923076923,9272,129.9999999999998700
0.99375,9312,160.0000000000000000
0.9947368421052631,9358,189.9999999999979100
0.9954545454545455,9390,220.0000000000022000
0.996,9403,250.0000000000000000
0.9964285714285714,9411,279.9999999999977600
0.9967741935483871,9418,310.0000000000003100
0.9970588235294118,9424,340.0000000000040800
0.9972972972972973,9429,370.0000000000003700
0.9975,9434,400.0000000000000000
0.9976744186046511,9440,429.9999999999883900
0.9978260869565218,9446,460.0000000000128800
0.9979591836734694,9454,490.0000000000029400
0.9980769230769231,9466,520.0000000000062400
0.9981818181818182,9487,550.0000000000055000
0.9982758620689656,9525,580.0000000000278400
0.9983606557377049,9633,609.9999999999932900
0.9984375,10043,640.0000000000000000
0.9985074626865672,10551,670.0000000000160800
0.9985714285714286,10958,700.0000000000140000
0.9986301369863013,12704,729.9999999999627700
0.9986842105263158,14903,760.0000000000060800
0.9987341772151899,16872,790.0000000000165900
0.998780487804878,18744,819.9999999999672000
0.9988235294117647,20440,849.9999999999957500
0.9988636363636364,22016,880.0000000000281600
0.9989010989010989,23495,909.9999999999990900
0.9989361702127659,24882,939.9999999999492400
0.9989690721649485,26207,970.0000000000436500
0.999,27411,1000.0000000000000000
0.9992307692307693,36548,1300.0000000001170000
0.999375,42272,1600.0000000000000000
0.9994736842105263,46178,1899.9999999999430000
0.9995454545454545,48656,2199.9999999997800000
0.9996,50852,2500.0000000000000000
0.9996428571428572,52582,2800.0000000004480000
0.9996774193548387,53960,3099.9999999999070000
0.9997058823529412,55758,3400.0000000002720000
0.9997297297297297,58569,3699.9999999995930000
0.99975,61026,4000.0000000000000000
0.9997674418604651,63181,4299.9999999996990000
0.9997826086956522,65006,4600.0000000005520000
0.9997959183673469,66691,4899.9999999990690000
0.9998076923076923,68295,5199.9999999997920000
0.9998181818181818,69717,5499.9999999994500000
0.9998275862068966,70972,5800.0000000016240000
0.9998360655737705,72056,6100.0000000003050000
0.99984375,72931,6400.0000000000000000
0.9998507462686567,73685,6699.9999999992630000
0.9998571428571429,74283,7000.0000000021000000
0.9998630136986302,74897,7300.0000000033580000
0.9998684210526316,75436,7600.0000000012160000
0.9998734177215189,76033,7899.9999999945490000
0.9998780487804878,76592,8199.9999999996720000
0.9998823529411764,77121,8499.9999999949000000
0.9998863636363636,77627,8799.9999999971840000
0.9998901098901098,78062,9099.9999999925380000
0.9998936170212765,78447,9399.9999999915400000
0.9998969072164948,78728,9699.9999999957320000
0.9999,78933,10000.0000000000000000
0.9999230769230769,79918,12999.9999999961000000
0.9999375,80352,16000.000000000000
0.9999473684210526,80649,18999.9999999886000000
0.9999545454545454,80877,21999.9999999736000000
0.99996,81093,25000.000000000000
0.9999642857142857,81275,27999.9999999888000000
0.9999677419354839,81438,31000.0000000279000000
0.9999705882352942,81598,34000.0000000952000000
0.9999729729729729,81778,36999.9999999001000000
0.999975,81979,40000.000000000000
0.9999767441860465,82156,42999.9999999785000000
0.9999782608695652,82387,45999.9999999632000000
0.9999795918367347,82636,49000.0000000147000000
0.9999807692307693,82839,52000.0000001872000000
0.9999818181818182,83052,55000.0000000550000000
0.9999827586206896,83290,57999.9999998144000000
0.9999836065573771,83527,61000.0000001891000000
0.999984375,83787,64000.000000000000
0.9999850746268657,84039,67000.0000001273000000
0.9999857142857143,84306,70000.0000000700000000
0.999986301369863,84684,72999.999999927000000
0.9999868421052631,85031,75999.9999996656000000
0.9999873417721519,85322,79000.0000000079000000
0.9999878048780488,85887,82000.0000001312000000
0.9999882352941176,88558,84999.9999996600000000
0.9999886363636363,90916,87999.9999995072000000
0.9999890109890109,91248,90999.9999992629000000
0.9999893617021277,91538,94000.0000003572000000
0.9999896907216494,91796,96999.9999992046000000
0.99999,91979,100000.000000000000
0.9999923076923077,93118,130000.0000001300000000
0.99999375,93737,160000.000000000000
0.9999947368421053,94349,190000.0000013300000000
0.9999954545454546,94820,220000.0000026400000000
0.999996,95376,250000.000000000000
0.9999964285714286,95962,280000.0000022400000000
0.9999967741935484,96755,310000.0000012400000000
0.9999970588235294,97158,339999.9999986400000000
0.9999972972972972,97501,369999.9999866800000005
0.9999975,97734,400000.000000000000
0.9999976744186047,97877,430000.0000090300000002
0.9999978260869565,98076,459999.9999954000000000
0.9999979591836735,98251,490000.0000073500000001
0.999998076923077,98405,520000.000020800000001
0.9999981818181818,98479,549999.9999945000000001
0.999998275862069,98583,580000.000011600000000
0.9999983606557377,98661,609999.9999981700000000
0.9999984375,98746,640000.000000000000
0.9999985074626866,98832,670000.0000147400000003
0.9999985714285714,98897,699999.9999860000000003
0.9999986301369863,98970,729999.9999992700000000
0.9999986842105263,99032,759999.9999908800000001
0.9999987341772152,99045,790000.0000063200000001
0.9999987804878049,99084,820000.0000147600000003
0.9999988235294117,99137,849999.9999532500000026
0.9999988636363636,99224,879999.9999718400000009
0.9999989010989011,99250,910000.0000009100000000
0.9999989361702127,99391,939999.9999417200000036
0.9999989690721649,99420,969999.9999544100000021
0.999999,99492,1000000.000000000000
0.9999992307692308,99840,1300000.0000520000000021
0.999999375,100137,1600000.000000000000
0.9999994736842105,100282,1899999.9999050000000047
0.9999995454545455,100357,2200000.0002200000000220
0.9999996,100623,2500000.000000000000
0.9999996428571428,100867,2799999.9995520000000717
0.9999996774193548,100979,3099999.9996280000000446
0.999999705882353,101010,3400000.000680000000136
0.9999997297297297,101052,3699999.9995930000000448
0.99999975,101125,4000000.000000000000
0.9999997674418605,101176,4300000.0006450000000968
0.9999997826086956,101194,4599999.9988960000002650
0.9999997959183673,101463,4899999.9988730000002592
0.9999998076923077,101469,5200000.0002080000000083
0.9999998181818182,101502,5500000.0005500000000550
0.9999998275862069,101577,5800000.0001160000000023
0.9999998360655737,101615,6099999.9973770000011279
0.99999984375,101632,6400000.000000000000
0.9999998507462686,101637,6699999.9974540000009675
